ministry,unitCode,legacyReference,name,parentUnitCode,unitType,department,isVirtual
HOME,Naidupet SDPO,2045411,Naidupet SDPO,Srikakulam Dist,SDPO,L&O,FALSE
HOME,Gudur SDPO,2031402,Gudur SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Puttur SDPO,2045413,Puttur SDPO,Sri Potti Sriramulu Nellore DIst,SDPO,L&O,FALSE
HOME,Renigunta SDPO,2045408,Renigunta SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Sri City SDPO,2045412,Sri City SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Srikalahasti SDPO,2045404,Srikalahasti SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Tirumala SDPO,2045405,Tirumala SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Tirupati SDPO,2045403,Tirupati SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Chandragiri SDPO,2045406,Chandragiri SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Bobbili SDPO,2037402,Bobbili SDPO,Tirupathi Dist,SDPO,L&O,FALSE
HOME,Cheepurupalli SDPO,2037404,Cheepurupalli SDPO,Vizianagaram Dist,SDPO,L&O,FALSE
HOME,Vizianagaram SDPO,2037400,Vizianagaram SDPO,Vizianagaram Dist,SDPO,L&O,FALSE
HOME,Bhimavaram SDPO,2018405,Bhimavaram SDPO,Vizianagaram Dist,SDPO,L&O,FALSE
HOME,Tadepalligudem SDPO,2018407,Tadepalligudem SDPO,West Godavari Dist,SDPO,L&O,FALSE
HOME,Narasapuram SDPO,2018403,Narasapuram SDPO,West Godavari Dist,SDPO,L&O,FALSE
HOME,Jammalamadugu SDPO,2016401,Jammalamadugu SDPO,West Godavari Dist,SDPO,L&O,FALSE
HOME,Kadapa SDPO,2016400,Kadapa SDPO,YSR Kadapa Dist,SDPO,L&O,FALSE
HOME,Mydukur SDPO,2016402,Mydukur SDPO,YSR Kadapa Dist,SDPO,L&O,FALSE
HOME,Proddatur SDPO,2016403,Proddatur SDPO,YSR Kadapa Dist,SDPO,L&O,FALSE
HOME,Pulivendula SDPO,2016404,Pulivendula SDPO,YSR Kadapa Dist,SDPO,L&O,FALSE
HOME,Atmakur SDPO(NLR),2031404,Atmakur SDPO,YSR Kadapa Dist,SDPO,L&O,FALSE
HOME,Chintapalli Circle,2035203,Chintapalli Circle,Sri Potti Sriramulu Nellore DIst,Circle,L&O,FALSE
HOME,G. K. Veedhi Circle,2035204,G. K. Veedhi Circle,Chintapalli SDPO,Circle,L&O,FALSE
HOME,Koyyuru Circle,2035211,Koyyuru Circle,Chintapalli SDPO,Circle,L&O,FALSE
HOME,Chintoor Circle,2017226,Chintoor Circle,Chintapalli SDPO,Circle,L&O,FALSE
